id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Neon Echo,pop,happy,0.78,120,0.88,0.81,0.12
12,Rainy Afternoon,Paper Lanterns,lofi,chill,0.38,74,0.62,0.55,0.83
13,Thunder Fist,Voltline,rock,intense,0.94,158,0.44,0.70,0.08
14,Velvet Underground,Slow Stereo,jazz,relaxed,0.41,88,0.74,0.52,0.91
15,Pixel Dreams,LoRoom,lofi,focused,0.43,82,0.57,0.63,0.76
16,Neon Jungle,Orbit Bloom,synthwave,moody,0.80,115,0.52,0.77,0.18
17,Summer Static,Indigo Parade,indie pop,happy,0.72,122,0.83,0.80,0.30
18,Deep Focus,LoRoom,lofi,focused,0.38,76,0.55,0.58,0.80
19,Power Surge,Max Pulse,pop,intense,0.90,135,0.75,0.90,0.04
20,Quiet Cosmos,Orbit Bloom,ambient,chill,0.22,55,0.68,0.38,0.95
21,Blacktop Ride,Voltline,rock,intense,0.88,148,0.46,0.68,0.11
22,Cafe Parisien,Slow Stereo,jazz,relaxed,0.34,85,0.76,0.50,0.93
23,SynthCity,Neon Echo,synthwave,moody,0.77,112,0.51,0.75,0.20
24,Daydream Pop,Indigo Parade,indie pop,happy,0.70,119,0.85,0.78,0.33
25,Iron Will,Max Pulse,pop,intense,0.92,138,0.72,0.86,0.06
26,Foggy Morning,Paper Lanterns,lofi,chill,0.36,70,0.61,0.56,0.88
27,Meteor Shower,Orbit Bloom,ambient,chill,0.25,58,0.66,0.40,0.94
28,Jazz Hands,Slow Stereo,jazz,relaxed,0.39,92,0.73,0.53,0.90
29,Voltage Drop,Voltline,rock,intense,0.89,155,0.45,0.67,0.09
30,Confetti Rain,Neon Echo,pop,happy,0.80,125,0.86,0.83,0.15
31,Lo-Fi Lullaby,LoRoom,lofi,chill,0.33,68,0.63,0.54,0.85
32,Arcade Rush,Max Pulse,pop,intense,0.91,140,0.74,0.89,0.05
33,Slow Burn,Indigo Parade,indie pop,moody,0.55,105,0.60,0.65,0.42
34,Midnight Jazz,Slow Stereo,jazz,moody,0.44,95,0.58,0.56,0.87
35,Galactic Drift,Orbit Bloom,ambient,chill,0.20,52,0.70,0.35,0.96
36,Neon Rain,Neon Echo,synthwave,moody,0.73,108,0.53,0.74,0.21
37,Heartbeat Pop,Indigo Parade,pop,happy,0.79,121,0.87,0.82,0.14
38,Gravel Road,Voltline,rock,moody,0.70,130,0.42,0.60,0.25
39,Bossa Nova Breeze,Slow Stereo,jazz,relaxed,0.32,82,0.78,0.48,0.94
40,Focus Mode,LoRoom,lofi,focused,0.41,79,0.58,0.61,0.77
41,City Lights,Neon Echo,pop,happy,0.81,117,0.85,0.80,0.16
42,Thunder Road,Voltline,rock,intense,0.93,160,0.43,0.71,0.07
43,Chill Pill,Paper Lanterns,lofi,chill,0.37,73,0.64,0.57,0.84
44,Sunset Synth,Orbit Bloom,synthwave,moody,0.76,113,0.50,0.76,0.19
45,Weekend Mood,Indigo Parade,indie pop,happy,0.74,123,0.84,0.81,0.28
46,Jazz Club,Slow Stereo,jazz,relaxed,0.40,89,0.72,0.55,0.91
47,Raw Power,Max Pulse,rock,intense,0.95,162,0.41,0.72,0.06
48,Cloud Nine,Neon Echo,pop,happy,0.77,116,0.89,0.79,0.17
49,Still Water,Paper Lanterns,ambient,chill,0.24,57,0.67,0.39,0.95
50,Lofi Dreams,LoRoom,lofi,chill,0.36,71,0.61,0.57,0.82
